148,149,190,747,5430,
165,157,190,747,4126,
145,149,189,747,3889,
144,149,189,747,3777,
146,149,189,747,3859,
146,149,189,798,3890,
167,149,189,746,4109,
144,149,189,747,3826,
150,154,189,766,7189,
146,150,189,804,3980,
148,149,189,804,3894,
165,149,189,812,5211,
144,149,200,747,5351,
145,150,189,747,3855,
148,149,189,747,4329,
145,149,189,747,3963,
145,150,209,747,3927,
146,149,190,816,3953,
144,149,189,747,5034,
145,149,199,763,3884,
146,149,189,747,4037,
145,150,189,771,5184,
149,149,190,1003,4198,
146,149,189,747,3920,
144,149,242,758,3893,
175,149,189,746,5158,
145,149,189,746,3908,
147,150,189,747,3866,
144,150,189,747,4159,
147,149,189,794,3988,
145,149,189,782,3852,
147,149,189,748,3976,
144,151,189,795,4077,
147,150,189,757,4017,
161,149,189,747,5815,
399,155,189,747,4930,
146,148,189,747,3697,
153,154,189,758,7775,
162,150,198,747,3946,
156,150,189,747,4000,
144,149,190,773,3858,
146,149,189,747,3853,
151,149,189,818,4189,
144,149,190,808,3782,
144,149,189,747,3782,
164,149,189,801,4104,
145,149,205,746,3911,
153,154,200,747,7988,
144,149,189,757,3894,
151,155,190,747,7482,
159,150,189,747,3939,
160,149,231,756,3738,
144,149,229,747,3823,
152,154,189,747,7508,
144,150,189,747,5091,
166,149,189,747,3830,
164,149,190,746,3970,
164,149,190,789,3865,
152,149,189,798,3744,
167,150,190,747,3962,
147,149,189,747,3888,
150,154,190,747,7536,
145,149,189,747,3826,
144,149,189,747,3732,
144,154,189,747,4010,
145,149,190,794,3809,
147,150,207,747,4119,
168,149,189,747,3849,
