897,594,3164,
402,558,1160,
519,626,1347,
561,555,1358,
376,555,1160,
482,522,1174,
518,592,1302,
491,488,1190,
528,472,1166,
375,515,1111,
481,531,1207,
516,492,1248,
355,549,1170,
492,548,1240,
461,518,1146,
1093,1011,2420,
336,529,1079,
502,568,1297,
531,568,1295,
346,513,1061,
498,440,1235,
1483,1055,2816,
570,442,1247,
498,498,1181,
395,596,1312,
468,539,1190,
486,503,1176,
487,455,1138,
385,524,1084,
582,606,1458,
443,700,1318,
499,529,1236,
512,512,1290,
538,547,1312,
517,556,1259,
554,539,1264,
493,573,1308,
515,547,1263,
374,510,1062,
366,581,1097,
493,524,1183,
451,609,1249,
476,479,1078,
491,531,1227,
1606,1078,2923,
382,413,928,
571,565,1330,
493,510,1173,
348,525,1083,
530,509,1225,
501,785,1529,
489,615,1293,
374,712,1376,
376,530,1124,
557,560,1405,
496,593,1374,
445,603,1275,
494,523,1221,
372,530,1073,
790,525,1641,
356,514,1068,
658,662,1521,
569,531,1324,
483,526,1196,
623,647,1430,
546,521,1246,
488,475,1081,
519,527,1213,
